,ID,N_VICTIMAS,FECHA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,VICTIMA,ACUSADO
406,2018-0132,1,2018-12-12,8,"AU Arturo Illia y Castillo, Ramon S.",AUTOPISTA,2,-58.39490504,-34.57241534,PEATON,CARGAS
407,2018-0133,1,2018-12-12,14,Nazca Av. y Rivadavia Av.,AVENIDA,7,-58.46963952,-34.63070603,PEATON,CARGAS
408,2018-0134,1,2018-12-12,21,La Plata Av. y Caseros Av.,AVENIDA,7,-58.42349365,-34.64019887,PEATON,MOTO
409,2018-0135,1,2018-12-18,14,Belgrano Av. y Peru,AVENIDA,1,-58.37471802,-34.61265002,PEATON,PASAJEROS
410,2018-0136,1,2018-12-18,15,Rivadavia Av. 7013,AVENIDA,7,-58.46438789,-34.62913916,PEATON,PASAJEROS
411,2018-0137,1,2018-12-18,20,Adolfo Alsina y Santiago del Estero,CALLE,1,-58.38481975,-34.61100424,MOTO,PASAJEROS
412,2018-0138,1,2018-12-21,9,Bermudez 1893,CALLE,10,-58.50751833,-34.62073702,PASAJEROS,PASAJEROS
413,2018-0139,1,2018-12-22,6,Santander 1974,CALLE,7,-58.44682986,-34.63888084,MOTO,MOTO
414,2018-0140,1,2018-12-22,8,Julieta Lanteri 1400,CALLE,1,-58.3600465,-34.61381341,AUTO,AUTO
415,2018-0141,1,2018-12-22,17,Maza y Av. Independencia,AVENIDA,5,-58.41509546,-34.62085945,PEATON,MOTO
416,2018-0142,1,2018-12-25,13,"PAZ, GRAL. AV. 5172",GRAL PAZ,12,-58.50997604,-34.57251072,CARGAS,PASAJEROS
417,2018-0143,1,2018-12-29,5,"Olivera Av. y Alberdi, Juan Bautista Av.",AVENIDA,10,-58.48606475,-34.64047818,MOTO,AUTO
418,2019-0001,1,2019-01-08,8,"CASTILLO, RAMON S., PRES. AV. Y CALLE 12",AVENIDA,2,-58.38526125,-34.5780581,MOTO,CARGAS
419,2019-0002,1,2019-01-09,4,"CASTAÑARES AV. Y MORENO, PERITO AV.",AVENIDA,7,-58.45463662,-34.65082149,AUTO,CARGAS
420,2019-0003,1,2019-01-12,8,SAN MARTIN AV. Y TERRADA,AVENIDA,15,-58.49121672,-34.59718073,MOTO,AUTO
421,2019-0004,1,2019-01-14,19,"PERON, EVA AV. Y MEDINA",AVENIDA,9,-58.47325712,-34.65284605,AUTO,PASAJEROS
422,2019-0005,1,2019-01-19,12,"JUSTO, JUAN B. AV. Y ALVAREZ JONTE AV.",AVENIDA,10,-58.52108101,-34.63382309,MOTO,CARGAS
423,2019-0006,1,2019-01-23,5,"OBLIGADO RAFAEL, AV. COSTANERA 4650",AVENIDA,14,-58.41652702,-34.55509606,PEATON,AUTO
424,2019-0007,1,2019-01-26,19,"MITRE, BARTOLOME Y YATAY",CALLE,5,-58.42891604,-34.6107166,MOTO,AUTO
425,2019-0008,1,2019-01-30,22,"PAZ, GRAL. AV. 16080",GRAL PAZ,8,-58.47802293,-34.69156793,MOTO,MULTIPLE
426,2019-0009,1,2019-01-31,14,CHACABUCO Y SAN JUAN AV.,AVENIDA,1,-58.37564821,-34.62200207,MOTO,AUTO
427,2019-0010,2,2019-02-02,7,DEL LIBERTADOR AV. 4100,AVENIDA,14,-58.42668489,-34.56961468,PEATON,AUTO
428,2019-0011,1,2019-02-10,1,"PAZ, GRAL. AV. Y ALBERDI, JUAN BAUTISTA AV.",GRAL PAZ,9,-58.5183993,-34.66252488,PEATON,AUTO
429,2019-0012,1,2019-02-17,3,"CASTAÑARES AV. Y GORDILLO, TIMOTEO",AVENIDA,8,-58.48432691,-34.67665828,MOTO,AUTO
430,2019-0013,1,2019-02-20,7,SALVIGNY Y MOM,CALLE,7,-58.4338383,-34.64457699,PEATON,AUTO
431,2019-0014,1,2019-02-20,17,"LAMARCA, EMILIO 5402",CALLE,11,-58.51664939,-34.58657938,MOTO,OBJETO FIJO
432,2019-0015,1,2019-02-23,6,SAN MARTIN AV. 5638,AVENIDA,11,-58.49613012,-34.59703502,AUTO,OBJETO FIJO
433,2019-0016,1,2019-02-24,2,"CARRILLO, RAMON, DR. Y FINOCHIETTO ENRIQUE DR.",CALLE,4,-58.38313603,-34.63356284,MOTO,PASAJEROS
434,2019-0017,1,2019-03-03,7,MEXICO Y PICHINCHA,CALLE,3,-58.39914719,-34.61632317,AUTO,PASAJEROS
