,ID hecho,FECHA ,SEXO,EDAD_VICTIMA
181,LC-2019-0013857,2019-01-07,Mujer,13
182,LC-2019-0015962,2019-01-07,Varon,6
183,LC-2019-0021745,2019-01-07,Varon,75
184,LC-2019-0013801,2019-01-08,Varon,39
185,LC-2019-0013840,2019-01-08,Varon,22
186,LC-2019-0013850,2019-01-08,Mujer,29
187,LC-2019-0014140,2019-01-08,Varon,9
188,LC-2019-0014220,2019-01-08,Varon,32
189,LC-2019-0014314,2019-01-08,Varon,42
190,LC-2019-0014442,2019-01-08,Varon,83
191,LC-2019-0014448,2019-01-08,Varon,62
192,LC-2019-0014503,2019-01-08,Varon,62
193,LC-2019-0014534,2019-01-08,SD,18
194,LC-2019-0014580,2019-01-08,Varon,18
195,LC-2019-0014644,2019-01-08,Varon,29
196,LC-2019-0014644,2019-01-08,Varon,29
197,LC-2019-0014787,2019-01-08,Mujer,30
198,LC-2019-0014790,2019-01-08,Varon,30
199,LC-2019-0014956,2019-01-08,Varon,32
200,LC-2019-0015085,2019-01-08,Varon,41
201,LC-2019-0015193,2019-01-08,Varon,64
202,LC-2019-0015241,2019-01-08,Mujer,64
203,LC-2019-0015361,2019-01-08,Varon,33
204,LC-2019-0015585,2019-01-08,Varon,31
205,LC-2019-0015614,2019-01-08,Mujer,31
206,LC-2019-0006068,2019-01-04,Varon,20
207,LC-2019-0015700,2019-01-08,Varon,34
208,LC-2019-0015822,2019-01-08,Varon,5
209,LC-2019-0015879,2019-01-08,SD,6
210,LC-2019-0016012,2019-01-08,Mujer,17
211,LC-2019-0016105,2019-01-08,Varon,40
212,LC-2019-0016278,2019-01-08,Varon,40
213,LC-2019-0016388,2019-01-09,Varon,35
214,LC-2019-0016388,2019-01-09,Mujer,35
215,LC-2019-0016581,2019-01-09,Varon,58
216,LC-2019-0016613,2019-01-09,Varon,42
217,LC-2019-0017068,2019-01-09,Varon,58
218,LC-2019-0017068,2019-01-09,Mujer,58
219,LC-2019-0017068,2019-01-09,Mujer,43
220,LC-2019-0017068,2019-01-09,Mujer,24
221,LC-2019-0017182,2019-01-09,Varon,33
222,LC-2019-0017186,2019-01-09,Varon,24
223,LC-2019-0017460,2019-01-09,Varon,35
224,LC-2019-0017504,2019-01-09,Varon,35
225,LC-2019-0017514,2019-01-09,Varon,70
226,LC-2019-0017514,2019-01-09,Varon,70
227,LC-2019-0017561,2019-01-09,Varon,38
228,LC-2019-0018006,2019-01-09,Varon,24
229,LC-2019-0018207,2019-01-09,Mujer,33
230,LC-2019-0018425,2019-01-09,Varon,38
231,LC-2019-0018474,2019-01-09,Varon,58
232,LC-2019-0018500,2019-01-09,Varon,34
233,LC-2019-0018518,2019-01-09,Varon,41
234,LC-2019-0018592,2019-01-09,Mujer,35
235,LC-2019-0018630,2019-01-09,Mujer,35
236,LC-2019-0018751,2019-01-09,Varon,43
237,LC-2019-0021352,2019-01-09,Varon,18
238,LC-2019-0022439,2019-01-09,Varon,40
239,LC-2019-0030754,2019-01-09,Varon,31
240,LC-2019-0031883,2019-01-09,Mujer,55
241,LC-2019-0018873,2019-01-10,Varon,49
242,LC-2019-0019243,2019-01-10,Varon,29
243,LC-2019-0020257,2019-01-10,Mujer,42
244,LC-2019-0020260,2019-01-10,Varon,26
245,LC-2019-0020420,2019-01-10,SD,35
246,LC-2019-0020451,2019-01-10,Varon,54
247,LC-2019-0020496,2019-01-10,Mujer,62
248,LC-2019-0020569,2019-01-10,Varon,24
249,LC-2019-0020951,2019-01-10,Varon,12
250,LC-2019-0020989,2019-01-10,Varon,33
251,LC-2019-0021079,2019-01-10,Varon,34
252,LC-2019-0021335,2019-01-10,Varon,39
253,LC-2019-0021415,2019-01-10,Varon,31
254,LC-2019-0093543,2019-01-10,Varon,36
255,LC-2019-0021365,2019-01-11,Varon,42
256,LC-2019-0021365,2019-01-11,Varon,42
257,LC-2019-0021365,2019-01-11,Mujer,28
258,LC-2019-0021434,2019-01-11,Varon,24
